============================================================
EXPERIMENT START
[1767091073.382] MOVEMENT
[1767091073.414] MOVEMENT
[1767091073.446] MOVEMENT
[1767091073.478] MOVEMENT
[1767091073.511] MOVEMENT
[1767091073.542] MOVEMENT
[1767091073.574] MOVEMENT
[1767091073.606] MOVEMENT
[1767091073.637] MOVEMENT
[1767091073.670] MOVEMENT
[1767091073.719] MOVEMENT
[1767091073.750] MOVEMENT
[1767091073.782] MOVEMENT
[1767091073.814] MOVEMENT
[1767091073.846] MOVEMENT
[1767091073.878] MOVEMENT
[1767091073.909] MOVEMENT
[1767091073.941] MOVEMENT
[1767091073.974] MOVEMENT
[1767091074.006] MOVEMENT
[1767091074.038] MOVEMENT
[1767091074.069] MOVEMENT
[1767091074.118] MOVEMENT
[1767091074.150] MOVEMENT
[1767091074.183] MOVEMENT
[1767091074.215] MOVEMENT
[1767091074.245] MOVEMENT
[1767091074.277] MOVEMENT
[1767091074.309] MOVEMENT
[1767091074.342] MOVEMENT
[1767091074.374] MOVEMENT
[1767091074.406] MOVEMENT
[1767091074.437] MOVEMENT
[1767091074.486] MOVEMENT
[1767091074.518] MOVEMENT
[1767091074.550] MOVEMENT
[1767091074.582] MOVEMENT
[1767091074.614] MOVEMENT
[1767091074.645] MOVEMENT
[1767091075.653] MOVEMENT
[1767091075.686] MOVEMENT
[1767091075.718] MOVEMENT
[1767091075.750] MOVEMENT
[1767091075.781] MOVEMENT
[1767091075.812] MOVEMENT
[1767091075.844] MOVEMENT
[1767091075.877] MOVEMENT
[1767091075.909] MOVEMENT
[1767091075.958] MOVEMENT
[1767091075.990] MOVEMENT
[1767091076.021] MOVEMENT
[1767091076.052] MOVEMENT
[1767091076.085] MOVEMENT
[1767091076.117] MOVEMENT
[1767091076.148] MOVEMENT
[1767091076.181] MOVEMENT
[1767091076.213] MOVEMENT
[1767091076.244] MOVEMENT
[1767091076.276] MOVEMENT
[1767091076.308] MOVEMENT
[1767091076.359] MOVEMENT
[1767091076.390] MOVEMENT
[1767091076.422] MOVEMENT
[1767091076.453] MOVEMENT
[1767091076.485] MOVEMENT
[1767091076.516] MOVEMENT
[1767091076.549] MOVEMENT
[1767091076.580] MOVEMENT
[1767091076.613] MOVEMENT
[1767091076.645] MOVEMENT
[1767091076.677] MOVEMENT
[1767091076.724] MOVEMENT
[1767091076.758] MOVEMENT
[1767091076.790] MOVEMENT
